gene
TSR2
WDR89
CSNK1A1
ERH
NPM3
NUDT16L1
NUDT21
PPM1B
PSPC1
SAP18
EIF2S3
NUSAP1
PIN4
UPF3B
LSM6.00
C7orf50
DKC1
ETF1
ZNF622
ARPC3
BRIX1
DDX3X
GNL3L
TRA2B
PCBP2
GRSF1
HNRNPH1
REXO2
HNRNPA1
HNRNPR
METAP1
KRT18
SMC1A
SNRNP70
TPT1
CALM1
DDX17
RBM4B
SUMO1
BCCIP
KHDRBS1
UTP3
LLPH
RING1
ARL6IP4
ARPC5L
GSTCD
RNF40
SIRT7
CSNK2A1
WBP11
FTSJ1
HMGA1
AURKB
CENPB
CSTF1
EDF1
UTP14A
AMDHD2
RPS11
GTF2B
SMC4
TRMT1L
UBB
NSUN5
CYCS
FCF1
FAU
HNRNPAB
NHP2
MYC
EXOSC4
TUBA1B
ATRIP
CSNK1D
PPIB
PRDX2
CSRP1
TCEA1
RPP30
SENP3
CDKN2AIP
EXOSC2
SPATS2L
CDK9
KDM2A
RUNX1
MBD3
PCBP1
RPF1
LARP7
TWISTNB
JUN
RRP15
POLR1C
THYN1
NOL7
USP39
CDCA8
PARN
EIF2AK2
RRP9
HNRNPA2B1
HUWE1
DDX46
HDAC1
SMNDC1
NMD3
FLNA
POP7
ARPC1A
DDX52
TOP2A
POLR2H
SNRPA
SFPQ
ABCE1
NIP7
PAK1IP1
CTDSPL2
CDK2
KPNA4
S100A4
CSNK2B
CSNK2A2
PPP1CA
WDR74
ZNHIT6
SKP1
PCNA
DDX5
RPS3
PELO
DNAJC21
FBL
WDR12
UTP23
C1orf131
PWP1
HNRNPH3
CUTC
CNOT6L
RBM34
RRS1
EMG1
C1orf35
RBM14
NOLC1
CCDC59
RFC2
U2AF2
LMNA
FBLL1
EIF2S1
SLTM
PPP1CC
DDB1
NOP16
CCNB1
RRP8
PA2G4
BYSL
PRMT3
RFC3
BUB3
RRP36
CPSF7
WDR3
DDX10
IWS1
MPHOSPH6
ISG20L2
RBM28
CD3EAP
DDX54
NOP2
RBM39
DHX9
POLDIP3
SPATA5
ACTR3
NAF1
REXO4
SBDS
NOL9
MCM4
GTF2F2
PRPF3
TCERG1
RUVBL1
API5
TSR1
HNRNPM
RRN3
DCAF13
NIPBL
SRFBP1
ACTR2
DHX15
NUMA1
PES1.00
MORF4L1
FARSB
KPNA3
C18orf21
HNRNPC
IMP4
TASP1
CBX1
C19orf53
IMP3
RSL24D1
HNRNPK
CDC5L
SSRP1
RBBP4
TOP2B
NSA2
CCDC137
EIF4A1
REXO1
NUFIP1
NVL
OLA1
TGS1
DUSP11
EEF1A1
EEF1G
GNL2
SRPK1
KIF2C
PDCD6
DDX21
RPP40
HNRNPU
CHD4
COIL
TRMT6
EIF6
BCAS2
UTP6
NOSIP
PPIA
PSMA7
RCC1
XRCC6
RPP38
ZCRB1
SURF6
CBFA2T3
NLE1
FRG1
UBE2I
UTP15
CPSF6
SNRPC
PLRG1
DDX51
NOP58
SERBP1
ANP32E
EBNA1BP2
HNRNPF
KPNA2
RIOK3
GTF2F1
XRN1
ABCF1
TAF15
RAD50
MCM2
EXOSC8
RRP1B
RUNX3
ZCCHC9
RAE1
CBX5
NAT10
RBM27
SSB
SF3B2
LTV1
DDX24
EIF4A3
ILF3
GRWD1
EXOSC10
PSMC3IP
RPF2
DHX8
HP1BP3
CDK7
ZNF326
PELP1
MCM6
SMC5
WDR75
EXOSC5
NOB1
NPM1
PRPF4
DNAJC8
HMGN4
PRKDC
UBTF
EIF5A
TRIM28
APEX1
XPO1
NGDN
TTF1
GPATCH4
NOP10
DDX47
IFI16
PNKP
CDC73
PDS5A
SIRT1
MAK16
SMC2
SPDYA
NOP14
POLR2L
CEBPZ
FTSJ3
NOL8
RIOK1
BLM
CTNNBL1
DDX31
PDS5B
ATM
MED10
NOL10
DDX42
PRPF8
DDX41
GAR1
HSPA2
TSC1
ZFR
ARID4B
UTP18
ERI1
DDX23
EXOSC3
ILF2
TBL3
RSL1D1
DHX33
EXOSC7
CSNK1A1L
EIF2A
SRP14
AATF
ACTB
PRPF19
WDR5
SNRPA1
MAP4
DHX35
DDX50
FUS
WDR55
ZFC3H1
CCAR1
GALNT6
RFC5
SARNP
HSP90AB1
SNRPD2
CHD3
HSPA1A
SETX
RRP7A
NOL11
RNF20
ZNF207
NOC2L
XRN2
EXOSC1
GNL3
NCAPD3
DEK
RPSA
KDM2B
POP4
FAM120B
PDLIM7
MCM3
NOC3L
DNAJA1
MCM5
SMARCA5
NCAPH2
WDR43
NSMCE1
TUFM
UTP14C
KRR1
DDX49
NOL6
PIH1D1
RCC2
NCAPG2
RRP12
TEX10
PPIH
CCT3
GTPBP4
LYAR
POP1
PTBP2
PNO1
ADAR
DDX56
RECQL
RUVBL2
SF3A3
ABT1
BAZ1B
MLKL
WDR36
KIN
EXOSC9
VRK1
EWSR1
EEF1A2
ELAVL1
HNRNPL
POLR2E
DIS3
MPHOSPH10
NOM1
PTBP1
RRP1
LMNB1
NCL
RNASEL
HSD17B4
DDX18
TPR
DYRK1B
DDX55
POLR1B
RCL1
MYH9
HEATR1
HLTF
CCT2
DNTTIP2
DDX27
XRCC5
DNMT1
RIOK2
WDR18
URB2
NOC4L
POLR1A
INCENP
TFB1M
CCDC86
SUPT16H
ZNF638
PARP1
PINX1
RFC1
LSG1
SDAD1
SNRNP200
BMS1
WDR46
ESF1
DDX1
SPTY2D1
DYNC1H1
MRTO4
GTPBP10
SART3
RIF1
SMCHD1
ERCC2
ACTG1
RFC4
TSPYL1
AHCTF1
NOP56
DIS3L
KRT7
C12orf43
TCOF1
PDCD11
SKIV2L
SMARCA4
KDM3B
XRCC1
USP36
EFTUD2
TOPBP1
MCM7
POLR1E
GEMIN4
ATR
NSUN2
TLE1
WRN
KRI1
ANLN
MYBBP1A
UTP20
RBM19
MDN1
MKI67
PLEC
DHX37
MYOF
DSP
